name;location;price_range_min;price_range_max;room_with_open_air_bath;rental_open_air_tubs;rental_indoor_tubs;rental_both_indoor_outdoor_tubs;tripadvisor_rating;tags;description;transportation;lat;lon;url
Kagaya;Yu-bu 80 Wakura-cho, Nanao-shi, Ishikawa, 926-0192 Japan;29700;124300;6;False;False;False;3.9;['Rooms with private open-air baths', 'Sea view', 'Nagoya Chubu & Hokuriku Region', 'Ishikawa', 'Wakura Onsen', 'Wajima (Noto Airport)'];Book Kagaya in Wakura Onsen (Ishikawa) The best in Japan for thirty consecutive years. Enjoy high quality hot spring baths, delicious food, ocean view rooms, and traditional hospitality. This ryokan was founded 100 years ago and features a hot spring with 1,200 years of history.;(1) 50 minutes by share-ride taxi from Noto Airport (Advance booking required) (2) 45 minutes by bus from Komatsu Airport to Kanazawa Station, then one hour by IR Ishikawa Limited Express to Wakura Onsen Station and 7-min shuttle bus ride from there (Advance booking required) (3) Two hours 30 minutes by JR Shinkansen from Tokyo Station to Kanazawa Station, then one hour by IR Ishikawa Limited Express to Wakura Onsen Station and 7-min shuttle bus ride from there (Advance booking required) (4) Two hours 50 minutes by JR Limited Express from Osaka Station to Kanazawa Station, then one hour by IR Ishikawa Limited Express to Wakura Onsen Station and 7-min shuttle bus ride from there (Advance booking required) The required times may slightly vary depending on the time of day. | (1) 50 minutes by share-ride taxi from Noto Airport (Advance booking required) | (2) 45 minutes by bus from Komatsu Airport to Kanazawa Station, then one hour by IR Ishikawa Limited Express to Wakura Onsen Station and 7-min shuttle bus ride from there (Advance booking required) | (3) Two hours 30 minutes by JR Shinkansen from Tokyo Station to Kanazawa Station, then one hour by IR Ishikawa Limited Express to Wakura Onsen Station and 7-min shuttle bus ride from there (Advance booking required) | (4) Two hours 50 minutes by JR Limited Express from Osaka Station to Kanazawa Station, then one hour by IR Ishikawa Limited Express to Wakura Onsen Station and 7-min shuttle bus ride from there (Advance booking required);37.090114460834;136.914446110332;https://selected-ryokan.com/ryokan/kagaya_wakura_noto_kanazawa_ishikawa_chubu.html
Matsunoyu;1215 Tamatsukuri, Tamayu-cho, Matsue-shi, Shimane, Japan;15400;52300;1;False;False;False;4.0;['Rooms with private open-air baths', 'Hiroshima Chugoku Region', 'Shimane', 'Matsue & Izumo-Tamatsukuri Onsen', 'Yonago (Yonago Airport)', 'Izumo (Izumo Airport)'];Book Matsunoyu in Izumo-Tamatsukuri Onsen (Shimane) The onsen ryokan is situated along the Tamayu River, which flows through the hot spring town. Seven types of guest rooms are available, including those with mountain views. The top-floor Panorama Suite features private open-air baths. Both dinner and breakfast are served as buffets, featuring a selection of dishes made with carefully selected local ingredients.;(1) 30 minutes by bus from Izumo Airport to Tamatsukuri Onsen (Himegami Hiroba), then 1 minutes on foot (2) 25 minutes by JR Sakai Line from Yonago Airport to Yonago Station, then 30 minutes by JR Limited Express to Tamatsukuri-Onsen Station and 8-min shuttle bus ride from there (Advance booking required) (3) 45 minutes by JR Shinkansen from Shin-Osaka Station to Okayama Station, then two hours 50 minutes by JR Limited Express to Tamatsukuri-Onsen Station and 8-min shuttle bus ride from there (Advance booking required) The required times may slightly vary depending on the time of day. | (1) 30 minutes by bus from Izumo Airport to Tamatsukuri Onsen (Himegami Hiroba), then 1 minutes on foot | (2) 25 minutes by JR Sakai Line from Yonago Airport to Yonago Station, then 30 minutes by JR Limited Express to Tamatsukuri-Onsen Station and 8-min shuttle bus ride from there (Advance booking required) | (3) 45 minutes by JR Shinkansen from Shin-Osaka Station to Okayama Station, then two hours 50 minutes by JR Limited Express to Tamatsukuri-Onsen Station and 8-min shuttle bus ride from there (Advance booking required);35.46776182;133.04860721;https://selected-ryokan.com/ryokan/matsunoyu_tamatsukuri_shimane_chugoku.html
Keiunkan;825 Yujima, Minamikoma-gun, Yamanashi, 409-2702 Japan;28600;61600;2;True;False;False;4.2;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'All rooms have hot spring baths', 'Traditional Japanese architecture', 'River view', 'Mountain view', 'Tokyo suburbs', 'Yamanashi', 'Nishiyama & Shimobe Onsen'];Book Keiunkan in Nishiyama Onsen (Yamanashi) Recorded in the Guinness Book of Records as the onsen ryokan with the longest history in the world. This famous hot spring was loved by Kyoto residents, military leaders, and litterateurs as a hidden bath deep in the heart of the mountains.;(1) One hour 30 minutes by JR Limited Express from Shinjuku Station to Kofu Station, then 50 minutes by JR Limited Express Fujikawa to Minobu Station and one hour 10-min shuttle bus ride from there (Advance booking required) (2) Three hours 30 minutes by bus from Shinjuku Expressway Bus Terminal to Minobu Station, then one hour 10 minutes by shuttle bus (Advance booking required) (3) One hour by JR Shinkansen from Nagoya Station to Shizuoka Station, then one hour 25 minutes by JR Limited Express Fujikawa to Minobu Station and 1h 10-min shuttle bus ride from there (Advance booking required) The required times may slightly vary depending on the time of day. | (1) One hour 30 minutes by JR Limited Express from Shinjuku Station to Kofu Station, then 50 minutes by JR Limited Express Fujikawa to Minobu Station and one hour 10-min shuttle bus ride from there (Advance booking required) | (2) Three hours 30 minutes by bus from Shinjuku Expressway Bus Terminal to Minobu Station, then one hour 10 minutes by shuttle bus (Advance booking required) | (3) One hour by JR Shinkansen from Nagoya Station to Shizuoka Station, then one hour 25 minutes by JR Limited Express Fujikawa to Minobu Station and 1h 10-min shuttle bus ride from there (Advance booking required);35.536001;138.305389;https://selected-ryokan.com/ryokan/keiunkan_nishiyama_yamanashi_tokyo-suburbs.html
Hakodate Umi no Kaze;1-18-15 Yunokawa-cho, Hakodate-shi, Hokkaido, Japan;23000;52800;0;False;True;False;4.5;['Rental hot spring baths for private use', 'Sea view', 'Hokkaido Region', 'Hokkaido', 'Hakodate Yunokawa Onsen', 'Hakodate (Hakodate Airport)'];Book Hakodate Umi no Kaze in Hakodate Yunokawa Onsen (Hokkaido) Located about an 8-minute drive from Hakodate Airport, the hotel features 56 rooms, 28 of which offer ocean-view baths. In addition to the large public bath within the hotel, guests can also enjoy the rooftop open-air baths and private baths at the adjacent sister property. For dinner, guests can enjoy a seafood-focused buffet without meat, with a la carte options to select sushi or Western cuisine depending on the plan.;(1) 18 minutes by bus from Hakodate Airport to Yunokawa Onsen Denteimae, then 3 minutes on foot (2) Five hours by shuttle bus from Sapporo Station to Hakodate Umi no Kaze (Advance booking required) (3) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 30 minutes by Hakodate City Tram to Yunokawa Onsen Station, and 3-min walk from there (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 15-min taxi ride from there The required times may slightly vary depending on the time of day. | (1) 18 minutes by bus from Hakodate Airport to Yunokawa Onsen Denteimae, then 3 minutes on foot | (2) Five hours by shuttle bus from Sapporo Station to Hakodate Umi no Kaze (Advance booking required) | (3) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 30 minutes by Hakodate City Tram to Yunokawa Onsen Station, and 3-min walk from there | (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 15-min taxi ride from there;41.7785526215;140.782550927616;https://selected-ryokan.com/ryokan/hakodate-umi-no-kaze_yunokawa-onsen_hokkaido.html
Inishie no Yado Keiun;1443-1 Hongo, Shurimen, Taisha-cho, Izumo-shi, Shimane, Japan;27500;83600;12;True;True;False;4.0;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'Hiroshima Chugoku Region', 'Shimane', 'Matsue & Izumo-Tamatsukuri Onsen', 'Izumo (Izumo Airport)'];Book Inishie no Yado Keiun in Izumo-Tamatsukuri Onsen (Shimane) Just an 8-minute walk to the Izumo-Taisha Shrine, it is a Japanese-style onsen ryokan where you can experience the mythological atmosphere and tradition of Izumo. Aside from the large public baths with open-air baths and five types of rental baths outside the rooms for private use, you can also enjoy onsen inside the guest rooms that come with private open-air baths. Kaiseki meals provided at a restaurant with a relaxed ambiance are also popular.;(1) 40 minutes by bus from Izumo Airport to Izumo Taisha, then 8 minutes on foot (2) 25 minutes by JR Sakai Line from Yonago Airport to Yonago Station, 50 minutes by JR Limited Express from Yonago Station to Izumoshi Station, then 30 minutes by Ichibata Electric Railway to Izumo Taisha-mae Station and 15-min walk from there (3) 45 minutes by JR Shinkansen from Shin-Osaka Station to Okayama Station, three hours 5 minutes by JR Limited Express from Okayama Station to Izumoshi Station, then 30 minutes by Ichibata Electric Railway to Izumo Taisha-mae Station and 15-min walk from there The required times may slightly vary depending on the time of day. | (1) 40 minutes by bus from Izumo Airport to Izumo Taisha, then 8 minutes on foot | (2) 25 minutes by JR Sakai Line from Yonago Airport to Yonago Station, 50 minutes by JR Limited Express from Yonago Station to Izumoshi Station, then 30 minutes by Ichibata Electric Railway to Izumo Taisha-mae Station and 15-min walk from there | (3) 45 minutes by JR Shinkansen from Shin-Osaka Station to Okayama Station, three hours 5 minutes by JR Limited Express from Okayama Station to Izumoshi Station, then 30 minutes by Ichibata Electric Railway to Izumo Taisha-mae Station and 15-min walk from there;35.238477522;132.71520423;https://selected-ryokan.com/ryokan/inishie-no-yado-keiun_izumo-tamatsukuri_shimane_chugoku.html
Ryotei Hanzuiryo;380-1 Unzen, Obama-cho, Unzen-shi, Nagasaki, 854-0621 Japan;78500;199400;2;False;False;True;4.4;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'Traditional Japanese architecture', 'Japanese garden view', 'Kyushu & Okinawa Region', 'Nagasaki', 'Unzen Onsen', 'Nagasaki (Nagasaki Airport)'];Book Ryotei Hanzuiryo in Unzen Onsen (Nagasaki) This onsen ryokan features 14 detached guest rooms of the traditional sukiya architectural style in extensive grounds. The premises are richly endowed with nature, and offer distinctive and beautiful scenery throughout the four seasons. It takes 10 minutes by walk to the Unzen Jigoku, a famous volcanic spectacle.;(1) 50 minutes by bus from Nagasaki Airport to Isahaya Station, or (2) one hour by JR Limited Express from Hakata Station to Takeo-Onsen Station, 20 minutes by JR Shinkansen from Takeo-Onsen Station to Isahaya Station, then one hour 20 minutes by bus to Shirakumo no Ike Iriguchi and 1-min walk from there (3) One hour 40 minutes by bus from Nagasaki Station to Syoujigoku Iriguchi, then 5 minutes on foot The required times may slightly vary depending on the time of day. | (1) 50 minutes by bus from Nagasaki Airport to Isahaya Station, or (2) one hour by JR Limited Express from Hakata Station to Takeo-Onsen Station, 20 minutes by JR Shinkansen from Takeo-Onsen Station to Isahaya Station, then one hour 20 minutes by bus to Shirakumo no Ike Iriguchi and 1-min walk from there | (3) One hour 40 minutes by bus from Nagasaki Station to Syoujigoku Iriguchi, then 5 minutes on foot;32.734199181541;130.258820955762;https://selected-ryokan.com/ryokan/ryotei-hanzuiryo_unzen_nagasaki_kyushu.html
Suihoen;2519-1 Mori, Gero-shi, Gifu, Japan;28600;66000;9;False;False;True;4.6;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'Enjoy hot spring in snow', 'Mountain view', 'Nagoya Chubu & Hokuriku Region', 'Gifu', 'Gero Onsen'];Book Suihoen in Gero Onsen (Gifu) The view of the mountain from the open-air baths is beautiful. There are various kinds of guest rooms with open-air baths.;;35.8090751;137.2514934;https://selected-ryokan.com/ryokan/suihoen_gero_gifu_nagoya-chubu-hokuriku.html
La Vista Hakodate Bay;12-6 Toyokawa-cho, Hakodate-shi, Hokkaido, Japan;18200;49400;0;False;False;False;4.3;['Sea view', 'Hokkaido Region', 'Hokkaido', 'Hakodate Yunokawa Onsen', 'Hakodate (Hakodate Airport)'];Book La Vista Hakodate Bay in Hakodate Yunokawa Onsen (Hokkaido) Conveniently located adjacent to the popular bay area featuring the Red Brick Warehouses, the hotel offers an onsen experience within walking distance of Hakodate Station and local markets. The hotel boasts 335 guest rooms, with those offering views of Mount Hakodate and the nighttime cityscape being popular. The grand baths are located on the top floor, featuring open-air baths with impressive views. The breakfast buffet is highly rated, with the make-your-own seafood bowl, featuring fresh local seafood, being a guest favorite.;(1) 35 minutes by bus from Hakodate Airport to Bay Area Mae (In front of the bay area), then 1 minutes on foot (2) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 7 minutes by Hakodate City Tram to La Vista Hakodate Bay Mae and 1-min walk from there (3) Five hours 35 minutes by bus from Sapporo Station to Hakodate Station Bus Terminal, then 15 minutes on foot (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 15-min walk from there The required times may slightly vary depending on the time of day. | (1) 35 minutes by bus from Hakodate Airport to Bay Area Mae (In front of the bay area), then 1 minutes on foot | (2) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 7 minutes by Hakodate City Tram to La Vista Hakodate Bay Mae and 1-min walk from there | (3) Five hours 35 minutes by bus from Sapporo Station to Hakodate Station Bus Terminal, then 15 minutes on foot | (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 15-min walk from there;41.767789712999;140.718907807357;https://selected-ryokan.com/ryokan/lavista-hakodate-bay_yunokawa-onsen_hokkaido.html
Ryotei Tanokura;1556-2 Kawakami, Yufuin-cho, Yufu-shi, Oita, Japan;27500;61600;5;False;False;False;4.4;['Rooms with private open-air baths', 'All rooms have hot spring baths', 'Safe ryokans under the COVID-19 (coronavirus) pandemic', 'Kyushu & Okinawa Region', 'Oita', 'Yufuin Onsen', 'Oita (Oita Airport)'];Book Ryotei Tanokura in Yufuin Onsen (Oita) An old folk house-style inn built with traditional construction methods. All rooms have hot spring baths. Five of the rooms also come with open-air baths.;(1) 55 minutes by bus from Oita Airport to Yufuin Station, (2) one hour 40 minutes by bus from Fukuoka Airport to Yufuin Station, or (3) two hours 10 minutes by JR Limited Express from Hakata Station to Yufuin Station, then 5 minutes by shuttle bus The required times may slightly vary depending on the time of day. | (1) 55 minutes by bus from Oita Airport to Yufuin Station, (2) one hour 40 minutes by bus from Fukuoka Airport to Yufuin Station, or (3) two hours 10 minutes by JR Limited Express from Hakata Station to Yufuin Station, then 5 minutes by shuttle bus;33.20890403;131.53230109;https://selected-ryokan.com/ryokan/ryotei-tanokura_yufuin_oita_kyushu.html
La Vista Hakodate Bay Annex;5-23 Otemachi, Hakodate-shi, Hokkaido, Japan;26200;68200;2;True;False;False;4.3;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'Sea view', 'Mountain view', 'Hokkaido Region', 'Hokkaido', 'Hakodate Yunokawa Onsen', 'Hakodate (Hakodate Airport)'];Book La Vista Hakodate Bay Annex in Hakodate Yunokawa Onsen (Hokkaido) Opened in 2023, this premium annex to La Vista Hakodate Bay offers an elevated experience. The guest rooms are designed to feel more spacious than those in the main building and include options with private open-air baths. In addition to gender-segregated large baths with panoramic views of Mt. Hakodate, the facility also offers three types of private baths for exclusive use. The breakfast is just as lavish as that in the main building, allowing guests to create their own seafood rice bowls among other luxurious options.;(1) 35 minutes by bus from Hakodate Airport to Hakodate Kokusai Hotel Mae, then 2 minutes on foot (2) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 5 minutes by bus to Hakodate Beer Mae and right over there (3) Five hours 35 minutes by bus from Sapporo Station to Hakodate Station Bus Terminal, then 10 minutes on foot (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 10-min walk from there The required times may slightly vary depending on the time of day. | (1) 35 minutes by bus from Hakodate Airport to Hakodate Kokusai Hotel Mae, then 2 minutes on foot | (2) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 5 minutes by bus to Hakodate Beer Mae and right over there | (3) Five hours 35 minutes by bus from Sapporo Station to Hakodate Station Bus Terminal, then 10 minutes on foot | (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 10-min walk from there;41.7692152;140.7239306;https://selected-ryokan.com/ryokan/lavista-hakodate-bay-annex_yunokawa-onsen_hokkaido.html
Bourou Noguchi Hakodate;1-17-22 Yunokawa-cho, Hakodate-shi, Hokkaido, Japan;38700;121000;1;False;False;False;4.2;['Enjoy hot spring in snow', 'Hokkaido Region', 'Hokkaido', 'Hakodate Yunokawa Onsen', 'Hakodate (Hakodate Airport)'];Book Bourou Noguchi Hakodate in Hakodate Yunokawa Onsen (Hokkaido) The huge open-air bath is located on the highest spot in the area and provides a liberating view. There are rooms with baths that are filled with hot spring water. An inn with a modernistic design.;(1) 15 minutes by bus from Hakodate Airport to Yunokawa Onsen Dentei Mae, then 3 minutes on foot (2) Five hours 50 minutes by bus from Sapporo Station to Yunokawa Onsen Kita, then 1 minutes on foot (3) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 30 minutes by Hakodate City Tram to Yunokawa Onsen Station, and 3-min walk from there (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 15-min taxi ride from there The required times may slightly vary depending on the time of day. | (1) 15 minutes by bus from Hakodate Airport to Yunokawa Onsen Dentei Mae, then 3 minutes on foot | (2) Five hours 50 minutes by bus from Sapporo Station to Yunokawa Onsen Kita, then 1 minutes on foot | (3) Three hours 45 minutes by JR Limited Express from Sapporo Station to Hakodate Station, then 30 minutes by Hakodate City Tram to Yunokawa Onsen Station, and 3-min walk from there | (4) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, then three hours 15 minutes by JR Limited Express to Hakodate Station and 15-min taxi ride from there;41.778733838247;140.784069393195;https://selected-ryokan.com/ryokan/bourou-noguchi-hakodate_yunokawa_hokkaido.html
Kitanokaze Saryo;934-29 Sengokuhara, Hakone-machi, Ashigarashimo-gun, Kanagawa, Japan;44600;95300;8;True;False;False;3.9;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'All rooms have hot spring baths', 'Safe ryokans under the COVID-19 (coronavirus) pandemic', 'Tokyo suburbs', 'Kanagawa', 'Hakone Onsen'];Book Kitanokaze Saryo in Hakone Onsen (Kanagawa) All ten rooms come with open-air baths/scenic baths where you can enjoy fresh hot spring water straight from the source.;(1) One hour 30 minutes by Odakyu Limited Express from Shinjuku Station to Hakone-Yumoto Station, then 25 minutes by bus to Senkyoro-mae and 1-min walk from there (2) 35 minutes by JR Shinkansen from Tokyo Station to Odawara Station, then 45 minutes by bus to Senkyoro-mae and 1-min walk from there The required times may slightly vary depending on the time of day. | (1) One hour 30 minutes by Odakyu Limited Express from Shinjuku Station to Hakone-Yumoto Station, then 25 minutes by bus to Senkyoro-mae and 1-min walk from there | (2) 35 minutes by JR Shinkansen from Tokyo Station to Odawara Station, then 45 minutes by bus to Senkyoro-mae and 1-min walk from there;35.2606;139.004544;https://selected-ryokan.com/ryokan/kitanokaze-saryo_hakone_kanagawa_tokyo-suburbs.html
Kusayanenoyado Ryunohige;1253-8 Yumuta, Kawanishi, Yufuin-cho, Yufu-shi, Oita, Japan;32000;72000;1;False;False;False;4.8;['Rooms with private open-air baths', 'All rooms have open-air hot spring', 'Safe ryokans under the COVID-19 (coronavirus) pandemic', 'Mountain view', 'Kyushu & Okinawa Region', 'Oita', 'Yufuin Onsen', 'Oita (Oita Airport)'];Book Kusayanenoyado Ryunohige in Yufuin Onsen (Oita) All rooms are secluded accommodations that include open-air baths. The view of the mountains of Yufu seen from spots such as the private open-air hot spring baths and the guest rooms is magnificent.;(1) 55 minutes by bus from Oita Airport to Yufuin Station, (2) one hour 40 minutes by bus from Fukuoka Airport to Yufuin Station, or (3) two hours 10 minutes by JR Limited Express from Hakata Station to Yufuin Station, then 12 minutes by shuttle bus (Advance booking required) The required times may slightly vary depending on the time of day. | (1) 55 minutes by bus from Oita Airport to Yufuin Station, (2) one hour 40 minutes by bus from Fukuoka Airport to Yufuin Station, or (3) two hours 10 minutes by JR Limited Express from Hakata Station to Yufuin Station, then 12 minutes by shuttle bus (Advance booking required);33.18001584;131.42673303;https://selected-ryokan.com/ryokan/kusayanenoyado-ryunohige_yufuin_oita_kyushu.html
Mibunoshou;3066-1 Hiranami, Inatori, Higashiizu-cho, Kamo-gun, Shizuoka, Japan;31400;44000;1;False;False;False;4.1;['Rooms with private open-air baths', 'All rooms have open-air hot spring', 'Safe ryokans under the COVID-19 (coronavirus) pandemic', 'Sea view', 'Tokyo suburbs', 'Shizuoka', 'East Izu Onsen'];Book Mibunoshou in East Izu Inatori Onsen (Shizuoka) This ryokan faces the mountains and the sea, and have 8 guest rooms, all equipped with private open-air baths. It is a lone ryokan located far from town, and boasts pretty flowers of the four seasons inside its 33,000-square-metre large premises. Guests can enjoy kaiseki meals, which generously make use of fine ingredients including seafoods harvested at the Izu-Inatori Port, right inside their rooms.;(1) Two hours 25 minutes by JR Limited Express from Tokyo Station to Izu-Inatori Station, then 10 minutes by shuttle bus (Advance booking required) (2) 45 minutes by JR Shinkansen from Tokyo Station to Atami Station, then one hour by JR Ito Line (Izu Kyuko Line) to Izu-Inatori Station and 10-min shuttle bus ride from there (Advance booking required) The required times may slightly vary depending on the time of day. | (1) Two hours 25 minutes by JR Limited Express from Tokyo Station to Izu-Inatori Station, then 10 minutes by shuttle bus (Advance booking required) | (2) 45 minutes by JR Shinkansen from Tokyo Station to Atami Station, then one hour by JR Ito Line (Izu Kyuko Line) to Izu-Inatori Station and 10-min shuttle bus ride from there (Advance booking required);34.785829197981;139.034877260697;https://selected-ryokan.com/ryokan/mibunoshou_east-izu-inatori_shizuoka_tokyo-suburbs.html
Hotel Kogure;135 Ikaho, Ikaho-machi, Shibukawa-shi, Gunma, Japan;20900;83600;1;True;False;False;4.1;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'Mountain view', 'Tokyo suburbs', 'Gunma', 'Ikaho Onsen'];Book Hotel Kogure in Ikaho Onsen (Gunma) Located on a hill in Ikaho Onsen, this ryokan boasts a large volume of spring water, and have fine view baths facing the mountains and spacious public baths with fantastic open-air hot spring surrounded by greenery. Large rental onsens for private use, with their own tatami rooms, are also attractive.;(1) Two hours 40 minutes by bus from Shinjuku Expressway Bus Terminal (Busta Shinjuku) to Ikaho Ishidangai, then 2 minutes by shuttle bus (or 3 minutes on foot) (2) One hour 30 minutes by JR Limited Express from Ueno Station to Shibukawa Station, then 25 minutes by bus to Ikaho Onsen and 2-min shuttle bus ride (or 3 minutes by on foot) from there The required times may slightly vary depending on the time of day. | (1) Two hours 40 minutes by bus from Shinjuku Expressway Bus Terminal (Busta Shinjuku) to Ikaho Ishidangai, then 2 minutes by shuttle bus (or 3 minutes on foot) | (2) One hour 30 minutes by JR Limited Express from Ueno Station to Shibukawa Station, then 25 minutes by bus to Ikaho Onsen and 2-min shuttle bus ride (or 3 minutes by on foot) from there;36.48945548;139.00041966;https://selected-ryokan.com/ryokan/hotel-kogure_ikaho_gunma_tokyo-suburbs.html
Matsuya Sensen;31-24 Funatsu, Awara-shi, Fukui, Japan;20900;90200;9;False;False;False;4.1;['Rooms with private open-air baths', 'Nagoya Chubu & Hokuriku Region', 'Fukui', 'Awara Onsen', 'Kanazawa (Komatsu Airport)'];Book Matsuya Sensen in Awara Onsen (Fukui) It is a massive ryokan with superb facilities. Sen-no-Kobore-Yu, which is one of the most spacious public baths in the Hokuriku region, has a large and luxurious male bathing area, and a female counterpart boasting a wide variety of bathtubs. Among the 120 guest rooms, the special Tokiwasure Hanareza rooms on the second floor are equipped with private open-air onsen baths.;(1) 15 minutes by bus from Komatsu Airport to Komatsu Station, then 20 minutes by JR Limited Express (or 40 minutes by JR Hokuriku Main Line) to Awara Onsen Station and 10-min shuttle bus ride from there (Advance booking required) (2) Two hours 10 minutes by JR Limited Express from Osaka Station to Awara Onsen Station, then 10 minutes by shuttle bus (Advance booking required) (3) Two hours 25 minutes by JR Limited Express from Nagoya Station to Awara Onsen Station, then 10 minutes by shuttle bus (Advance booking required) (4) Three hours by JR Shinkansen from Tokyo Station to Kanazawa Station, then 35 minutes by JR Limited Express to Awara Onsen Station and 10-min shuttle bus ride from there (Advance booking required) The required times may slightly vary depending on the time of day. | (1) 15 minutes by bus from Komatsu Airport to Komatsu Station, then 20 minutes by JR Limited Express (or 40 minutes by JR Hokuriku Main Line) to Awara Onsen Station and 10-min shuttle bus ride from there (Advance booking required) | (2) Two hours 10 minutes by JR Limited Express from Osaka Station to Awara Onsen Station, then 10 minutes by shuttle bus (Advance booking required) | (3) Two hours 25 minutes by JR Limited Express from Nagoya Station to Awara Onsen Station, then 10 minutes by shuttle bus (Advance booking required) | (4) Three hours by JR Shinkansen from Tokyo Station to Kanazawa Station, then 35 minutes by JR Limited Express to Awara Onsen Station and 10-min shuttle bus ride from there (Advance booking required);36.223842630267;136.187536789192;https://selected-ryokan.com/ryokan/matsuya-sensen_awara_fukui_hokuriku.html
Fukiya, Yugawara;398 Miyakami, Yugawara-machi, Ashigarashimo-gun, Kanagawa, Japan;38500;77000;1;True;False;False;4.5;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'Mountain view', 'Tokyo suburbs', 'Kanagawa', 'Hakone Onsen'];Book Fukiya in Hakone Yugawara Onsen (Kanagawa) Located on high ground in the Yugawara hot spring area, guests can visit seven hot spring baths. This hot spring ryokan also features exquisite Japanese ambiance and furnishings.;(1) One hour 15 minutes by JR Limited Express from Tokyo Station to Yugawara Station, then 8 minutes by taxi (2) 35 minutes by JR Shinkansen from Tokyo Station to Odawara Station, then 25 minutes by JR Tokaido Main Line to Yugawara Station and 8-min taxi ride from there The required times may slightly vary depending on the time of day. | (1) One hour 15 minutes by JR Limited Express from Tokyo Station to Yugawara Station, then 8 minutes by taxi | (2) 35 minutes by JR Shinkansen from Tokyo Station to Odawara Station, then 25 minutes by JR Tokaido Main Line to Yugawara Station and 8-min taxi ride from there;35.144343313363;139.080108608622;https://selected-ryokan.com/ryokan/fukiya_hakone_kanagawa_tokyo-suburbs.html
YAMAGATA THE TAKINAMI;3005 Akayu, Nanyo-shi, Yamagata, Japan;44800;92800;1;False;False;False;4.7;['Rooms with private open-air baths', 'All rooms have open-air hot spring', 'Enjoy hot spring in snow', 'Tohoku Region', 'Yamagata', 'Kaminoyama Onsen (Zao)', 'Yamagata (Yamagata Airport)'];Book Yamagata The Takinami in Akayu Kaminoyama Onsen (Yamagata) This ryokan was renovated into a modern space by relocating and restoring a 350-year-old building. All guest rooms come with open-air hot spring baths, with three types including the SAKURA type where guests can view cherry blossoms from their rooms. Meals are prepared using ingredients from Yamagata and can be enjoyed with a sense of live performance in the open kitchen.;(1) 35 minutes by bus from Yamagata Airport to Yamagata Station, then 30 minutes by JR Ou Main Line to Akayu Station and 5-min shuttle bus ride from there (Advance booking required) (2) Two hours 20 minutes by JR Shinkansen from Tokyo Station to Akayu Station, then 5 minutes by shuttle bus from there (Advance booking required) The required times may slightly vary depending on the time of day. | (1) 35 minutes by bus from Yamagata Airport to Yamagata Station, then 30 minutes by JR Ou Main Line to Akayu Station and 5-min shuttle bus ride from there (Advance booking required) | (2) Two hours 20 minutes by JR Shinkansen from Tokyo Station to Akayu Station, then 5 minutes by shuttle bus from there (Advance booking required);38.0310342;140.1591674;https://selected-ryokan.com/ryokan/yamagata-the-takinami_akayu-kaminoyama_tohoku.html
